industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Architecture design & planning,"Real estate, design & building",United Kingdom,City of Westminster,Service, 10-49,2023,1.0,141.9,15.7,3.1,31.1,21.9,66.2,2.2,0.0,0.0,0.0,1.7,6.0
Beverages,Manufactured Goods,United Kingdom,London Borough of Lewisham,Manufacturing, 0,2023,1.0,102.5,54.5,2.9,20.0,19.3,23.9,4.7,0.0,0.9,0.0,1.7,5.0
Investment advising,Financial & insurance activities,Netherlands The,North Holland,Service, 50-249,2022,1.0,107.4,8.3,36.9,8.8,18.7,30.4,0.7,0.5,0.0,0.0,2.6,4.3
Agicultural support/post-harvest,"Agriculture, forestry & fishing",Taiwan,Hualien County,Agriculture/Growers, 10-49,2023,1.0,94.2,13.9,3.2,28.7,6.9,36.5,2.2,0.0,0.6,0.0,1.7,2.1
Beverages,Retail,United Kingdom,East Sussex,Wholesale/Retail, 1-9,2024,1.0,100.6,17.7,5.0,30.3,16.8,19.5,2.9,0.0,6.2,0.0,1.9,4.7
Agricultural Processing,"Agriculture, forestry & fishing",France,Nouvelle-Aquitaine,Agriculture/Growers, 50-249,2022,1.0,89.6,21.8,3.6,19.5,17.6,24.4,0.0,0.0,0.2,0.0,2.2,3.6
Jewelry & related articles,Manufactured Goods,United Kingdom,Isles of Scilly,Manufacturing, 1-9,2023,1.0,81.7,17.3,2.4,21.6,16.1,20.1,2.8,0.0,0.0,0.0,1.2,4.5
Food products,Retail,Canada,Quebec,Wholesale/Retail, 10-49,2023,1.0,101.7,40.3,2.5,21.9,13.9,17.7,4.1,0.0,0.3,0.0,0.5,9.8
Apparel,Manufactured Goods,Iceland,Capital Region,Manufacturing, 250-999,2024,1.0,105.4,15.4,3.6,48.8,10.7,21.5,1.4,0.0,0.3,0.0,3.4,8.4
Apparel,Manufactured Goods,Iceland,Capital Region,Manufacturing, 250-999,2020,2.0,93.5,17.3,4.0,31.7,9.8,23.8,1.4,0.0,1.3,0.0,3.7,9.2
Beverages,Manufactured Goods,Canada,British Columbia,Manufacturing, 10-49,2020,1.0,91.0,14.9,1.4,31.2,15.7,23.5,2.6,0.0,0.4,0.0,0.8,3.8
Agricultural Processing,"Agriculture, forestry & fishing",Canada,British Columbia,Agriculture/Growers, 10-49,2017,2.0,122.1,44.3,0.0,40.8,12.3,17.2,1.2,0.0,4.3,0.0,2.0,2.9
Agricultural Processing,"Agriculture, forestry & fishing",Canada,British Columbia,Agriculture/Growers, 10-49,2015,3.0,114.0,47.9,0.0,35.7,7.4,19.1,0.0,0.0,3.0,0.0,0.9,2.9
Apparel,Retail,Chile,Santiago Metropolitan Region,Wholesale/Retail, 10-49,2020,1.0,80.4,18.0,3.2,23.8,7.1,18.8,1.1,0.0,0.1,0.0,8.0,1.5
Mixed Farming,"Agriculture, forestry & fishing",Denmark,Region of Southern Denmark,Agriculture/Growers, 10-49,2025,1.0,94.7,11.7,3.3,22.3,19.3,22.0,4.9,0.0,7.2,0.0,3.7,3.9
Mixed Farming,"Agriculture, forestry & fishing",Denmark,Region of Southern Denmark,Agriculture/Growers, 10-49,2020,2.0,82.1,11.8,3.0,24.0,10.6,15.5,4.9,0.0,8.1,0.0,3.8,4.0
Other credit - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 250-999,2021,1.0,107.2,15.9,20.3,12.6,16.8,36.4,1.4,1.1,0.0,0.0,2.2,3.9
Other credit - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 250-999,2018,2.0,82.6,21.2,9.5,7.8,11.0,31.1,0.0,0.4,0.0,0.0,1.2,2.9
Textiles,Retail,France,Île-de-France,Wholesale/Retail, 1000+,2023,1.0,98.0,21.5,3.6,33.3,13.7,21.8,0.3,0.0,0.0,0.0,3.5,8.7
Food products,Wholesale,United States,Connecticut,Wholesale/Retail, 50-249,2025,1.0,86.3,19.1,4.0,23.5,17.5,20.1,1.8,0.0,0.0,0.0,0.0,8.1
Food products,Wholesale,United States,Connecticut,Wholesale/Retail, 50-249,2019,2.0,80.3,18.6,4.0,18.0,15.8,21.9,1.8,0.0,0.0,0.0,0.0,4.9
Food products,Manufactured Goods,United States,New Hampshire,Manufacturing, 250-999,2020,1.0,93.1,21.6,3.8,32.4,10.4,24.0,0.0,0.0,0.6,0.0,0.0,5.9
Food products,Manufactured Goods,United States,New Hampshire,Manufacturing, 250-999,2017,2.0,91.8,21.1,0.0,35.4,10.4,24.4,0.0,0.0,0.5,0.0,0.0,2.9
Food products,Manufactured Goods,United States,New Hampshire,Manufacturing, 250-999,2016,3.0,91.8,22.7,0.0,34.6,10.3,23.8,0.0,0.0,0.4,0.0,0.0,2.9
Apparel,Manufactured Goods,United States,Georgia,Manufacturing, 0,2023,1.0,94.8,34.4,2.8,33.8,16.8,23.9,6.8,0.0,0.0,0.0,1.7,3.3
Deposit bank - Developed Markets,Financial & insurance activities,Denmark,Capital Region of Denmark,Service, 50-249,2023,1.0,142.9,24.6,22.5,30.0,21.2,28.0,2.5,1.6,0.0,0.0,10.2,5.5
Deposit bank - Developed Markets,Financial & insurance activities,Denmark,Capital Region of Denmark,Service, 50-249,2020,2.0,115.4,20.7,21.8,20.3,17.0,23.1,3.2,1.1,0.0,0.0,6.7,3.9
Personal care products,Wholesale,United Kingdom,London Borough of Hammersmith and Fulham,Wholesale/Retail, 50-249,2022,1.0,101.6,23.3,5.0,28.9,17.0,21.0,2.1,0.0,0.0,0.0,4.0,10.1
Other personal services,Other services,United Kingdom,Devon,Service, 1-9,2020,1.0,82.5,25.4,11.3,3.0,14.0,21.5,3.5,0.0,2.7,0.0,0.7,1.8
"Other professional, scientific & tech",Professional & technical services,United States,New York,Service, 1-9,2019,1.0,91.3,38.1,3.1,16.0,18.5,12.5,2.0,0.0,0.7,0.0,0.0,1.1
"Other professional, scientific & tech",Professional & technical services,United States,New York,Service, 1-9,2017,2.0,108.3,52.4,0.0,13.7,19.6,18.1,1.3,0.0,0.4,0.0,2.8,2.9
"Other professional, scientific & tech",Professional & technical services,United States,New York,Service, 0,2015,3.0,87.3,30.6,12.7,21.4,19.7,0.0,1.3,0.0,1.7,0.0,0.0,2.9
Employment placement & HR,Administrative & support services,Netherlands The,South Holland,Service with Significant Environmental Footprint, 50-249,2023,1.0,80.6,17.4,2.2,5.0,17.1,27.4,1.9,0.0,5.2,0.0,3.9,1.1
Restaurants & food service,Accommodation & food service,Colombia,Cundinamarca Department,Service with Significant Environmental Footprint, 1000+,2024,1.0,102.6,20.9,3.1,13.3,15.5,49.6,1.2,0.0,0.5,0.0,4.7,2.9
Restaurants & food service,Accommodation & food service,Colombia,Cundinamarca Department,Service with Significant Environmental Footprint, 1000+,2019,2.0,94.6,49.0,4.5,13.5,12.0,20.0,0.0,0.0,0.2,0.0,0.1,2.9
Restaurants & food service,Accommodation & food service,Colombia,Cundinamarca Department,Service with Significant Environmental Footprint, 1000+,2016,3.0,99.1,62.0,0.0,12.8,5.7,18.4,0.0,0.0,0.7,0.0,0.2,2.9
Apparel,Retail,New Zealand,Wellington Region,Wholesale/Retail, 10-49,2024,1.0,118.1,37.5,4.4,37.7,15.5,19.0,3.1,0.0,0.0,0.0,0.7,5.2
Apparel,Retail,New Zealand,Wellington,Wholesale/Retail, 10-49,2019,2.0,101.3,35.1,3.3,26.8,13.4,18.3,3.4,0.0,0.0,0.0,0.6,1.1
Emergency services,Human health & social work,United States,New Hampshire,Service with Significant Environmental Footprint, 1000+,2022,1.0,97.2,16.1,34.9,4.3,13.7,21.9,0.4,0.0,5.6,0.0,0.0,0.5
Medical & dental supplies,Retail,United States,California,Wholesale/Retail, 10-49,2023,1.0,83.9,19.5,4.9,24.0,9.5,25.7,3.2,0.0,0.5,0.0,2.2,2.9
Forestry & logging,"Agriculture, forestry & fishing",France,Brittany,Agriculture/Growers, 10-49,2025,1.0,125.7,10.8,3.5,50.5,19.5,26.1,4.0,1.4,8.1,0.0,1.2,6.1
Forestry & logging,"Agriculture, forestry & fishing",France,Brittany,Agriculture/Growers, 10-49,2020,2.0,89.4,9.3,2.7,38.2,7.4,18.6,1.9,1.1,4.8,0.0,5.0,1.2
Transportation support,Transportation & storage,Australia,New South Wales,Service, 50-249,2023,1.0,90.0,13.9,3.9,19.9,17.8,27.4,0.0,0.0,4.7,0.0,2.2,2.9
Other personal services,Other services,United States,Washington,Service, 10-49,2019,2.0,87.1,15.0,7.0,22.6,11.3,25.5,0.0,0.0,0.0,0.0,5.4,3.0
Other personal services,Other services,United States,Washington,Service, 10-49,2016,3.0,91.6,19.3,0.0,36.0,12.0,21.8,0.7,0.0,0.0,0.0,1.8,2.9
Other personal services,Other services,United States,Washington,Service, 1-9,2014,4.0,104.3,26.4,0.0,39.4,18.3,18.4,0.9,0.0,0.7,0.0,0.0,2.9
Arts & entertainment,"Arts, entertainment & recreation",Denmark,Capital Region of Denmark,Service with Significant Environmental Footprint, 0,2024,1.0,88.3,24.8,25.1,7.4,13.3,23.9,5.7,0.0,11.7,0.0,1.7,4.0
Furniture,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 0,2021,2.0,80.8,36.1,18.3,7.4,12.2,23.9,3.7,0.0,2.9,0.0,1.7,1.7
Environmental consulting,Professional & technical services,Australia,South Australia,Service, 1-9,2024,1.0,97.9,21.8,4.3,28.0,14.9,21.7,3.5,0.0,0.6,0.0,2.7,1.0
"Other professional, scientific & tech",Professional & technical services,New Zealand,Manawatu-Wanganui Region,Service with Significant Environmental Footprint, 50-249,2025,1.0,81.9,20.0,4.3,13.3,15.4,25.0,1.9,0.0,0.5,0.0,1.2,5.1
"Other professional, scientific & tech",Professional & technical services,New Zealand,Manawatu-Wanganui Region,Service with Significant Environmental Footprint, 50-249,2021,2.0,86.0,20.1,4.3,16.1,14.8,25.3,2.0,0.0,2.0,0.0,1.2,6.1
Equity investing - Emerging Markets,Financial & insurance activities,Brazil,São Paulo,Service, 10-49,2021,1.0,110.6,14.3,32.9,11.2,20.0,24.9,2.0,0.0,0.1,0.0,4.9,3.2
Equity investing - Emerging Markets,Financial & insurance activities,Brazil,São Paulo,Service, 1-9,2017,2.0,81.7,13.7,33.3,2.8,7.2,19.9,0.6,1.4,0.8,0.0,0.6,2.9
Hairdressing & other beauty services,Other services,Australia,New South Wales,Service with Significant Environmental Footprint, 1-9,2022,1.0,88.1,27.5,4.0,9.5,15.0,22.6,2.8,0.0,1.9,0.0,4.5,1.0
Chemicals & chemical products,Wholesale,Netherlands The,South Holland,Wholesale/Retail, 1-9,2023,1.0,91.9,10.7,2.8,32.2,13.1,27.7,2.9,0.0,0.6,0.0,1.5,6.2
Printing & recorded media,Manufactured Goods,Japan,Ōsaka Prefecture,Manufacturing, 50-249,2023,1.0,82.6,16.2,3.3,22.4,9.1,29.5,0.0,0.0,1.8,0.0,0.0,5.7
Software publishing and SaaS platforms,"Information, communication & technology",France,Rhône-Alpes,Service, 1-9,2024,1.0,81.1,17.9,4.0,7.2,19.1,24.8,2.4,0.0,0.0,0.0,5.4,0.6
Environmental consulting,Professional & technical services,United Kingdom,East Sussex,Service, 0,2021,1.0,80.7,20.1,12.1,26.0,19.8,23.9,0.9,0.0,1.5,0.0,1.7,5.4
Environmental consulting,Professional & technical services,United Kingdom,East Sussex,Service, 0,2017,2.0,83.1,28.9,7.9,29.0,16.4,23.9,0.0,0.0,0.9,0.0,1.7,2.9
Advertising & market research,Professional & technical services,United States,Missouri,Service, 50-249,2023,1.0,192.9,45.8,32.4,16.1,24.3,71.6,2.4,0.0,0.0,0.0,0.0,4.0
Advertising & market research,Professional & technical services,United States,Missouri,Service, 50-249,2019,2.0,168.4,41.7,14.1,13.7,23.6,71.2,3.8,0.0,0.0,0.0,0.0,3.1
Advertising & market research,Professional & technical services,United States,Missouri,Service, 50-249,2017,3.0,116.7,47.3,5.0,10.3,15.9,35.9,1.2,0.0,1.1,0.0,0.0,2.9
Advertising & market research,Professional & technical services,United States,Missouri,Service, 50-249,2015,4.0,101.9,44.9,3.0,12.8,10.5,28.2,1.1,0.0,0.0,0.0,1.4,2.9
Other retail sale,Retail,United Kingdom,City of London,Wholesale/Retail, 50-249,2021,1.0,83.3,19.7,2.5,15.3,17.1,26.0,0.0,0.0,0.0,0.0,2.3,3.0
Advertising & market research,Professional & technical services,Canada,British Columbia,Service, 10-49,2018,1.0,80.0,21.6,7.0,5.4,16.1,26.5,0.8,0.0,0.7,0.0,1.6,2.9
Advertising & market research,Professional & technical services,Canada,Quebec,Service, 10-49,2019,1.0,81.0,15.4,9.3,4.6,14.0,33.6,2.2,0.0,0.0,0.0,1.6,1.4
Beverages,Retail,United Kingdom,Hertfordshire,Wholesale/Retail, 1-9,2022,1.0,90.7,16.4,3.3,13.1,16.1,32.0,3.0,0.0,5.4,0.0,1.0,4.3
Beverages,Wholesale,Netherlands The,Flevoland,Wholesale/Retail, 0,2023,1.0,91.6,30.2,1.6,34.0,20.5,23.9,5.1,0.0,0.0,0.0,1.7,0.7
Other retail sale,Retail,Canada,Quebec,Wholesale/Retail, 50-249,2020,2.0,92.2,19.2,2.7,20.3,17.6,28.0,1.9,0.0,0.0,0.0,2.1,5.3
Other retail sale,Retail,Canada,Quebec,Wholesale/Retail, 50-249,2025,1.0,80.2,14.6,3.2,24.7,17.5,20.0,0.6,0.0,0.5,0.0,1.0,2.9
Food products,Wholesale,Canada,British Columbia,Wholesale/Retail, 1-9,2019,1.0,94.3,19.2,3.5,21.7,17.2,21.0,3.1,0.0,6.4,0.0,1.8,2.5
Apparel,Retail,United Kingdom,City of Westminster,Wholesale/Retail, 10-49,2023,1.0,83.0,19.9,4.8,11.4,16.6,27.1,1.2,0.0,0.7,0.0,0.9,1.0
Real estate development,"Real estate, design & building",United States,Oregon,Service with Significant Environmental Footprint, 1-9,2024,1.0,115.0,44.2,5.0,20.6,15.1,19.9,4.0,0.0,6.0,0.0,0.0,1.9
Restaurants & food service,Accommodation & food service,Netherlands The,North Holland,Service with Significant Environmental Footprint, 10-49,2024,1.0,93.5,20.3,3.9,28.0,16.0,20.8,3.6,0.0,0.0,0.0,0.6,6.5
Food products,Wholesale,Netherlands The,North Holland,Wholesale/Retail, 1-9,2021,2.0,99.8,18.2,3.9,31.7,18.4,16.9,3.4,0.0,2.5,0.0,4.5,8.7
Apparel,Wholesale,Denmark,Copenhagen,Wholesale/Retail, 1-9,2021,1.0,99.5,29.3,2.9,26.3,15.8,20.3,0.0,0.0,0.0,0.0,4.7,4.6
Technology-based support services,Human health & social work,Argentina,Corrientes,Service, 10-49,2018,1.0,132.8,31.7,54.3,6.5,16.0,23.4,0.0,0.0,0.7,0.0,0.0,2.9
Other human health,Human health & social work,Argentina,Corrientes,Service, 10-49,2016,2.0,118.6,57.7,23.3,4.9,10.0,22.7,0.0,0.0,0.0,0.0,0.0,2.9
Employment placement & HR,Administrative & support services,France,Pays de la Loire,Service, 10-49,2022,1.0,81.3,14.7,21.6,4.8,9.7,22.8,2.7,0.0,0.9,0.0,3.8,0.4
Pension/retirement plans,Financial & insurance activities,United Kingdom,United Kingdom,Service, 10-49,2024,1.0,87.6,20.3,4.5,6.3,15.5,33.0,2.6,0.0,0.0,0.0,5.1,0.9
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,East Riding of Yorkshire,Service, 50-249,2024,1.0,95.7,16.4,16.1,10.5,20.7,28.4,0.0,0.0,0.7,0.0,2.5,3.2
Food products,Wholesale,United Kingdom,Oxfordshire,Wholesale/Retail, 10-49,2024,1.0,86.7,15.3,3.7,20.9,14.3,26.8,2.7,0.0,0.3,0.0,2.4,6.8
Textiles,Retail,Denmark,Capital Region of Denmark,Wholesale/Retail, 10-49,2021,1.0,91.7,13.5,3.9,28.6,18.0,19.9,2.3,0.0,0.9,0.0,4.3,4.8
Legal activities,Professional & technical services,United States,Vermont,Service, 1-9,2020,1.0,86.7,25.7,3.4,11.2,17.9,25.2,3.2,0.0,0.0,0.0,0.0,2.7
Legal activities,Professional & technical services,United States,Vermont,Service, 1-9,2016,2.0,82.7,28.2,0.0,8.9,15.1,27.5,2.2,0.0,0.0,0.0,0.8,2.9
Legal activities,Professional & technical services,United States,Vermont,Service, 1-9,2014,3.0,83.1,22.0,3.5,11.6,16.1,26.0,1.7,0.0,0.0,0.0,1.9,2.9
Legal activities,Professional & technical services,United States,Vermont,Service with Minor Environmental Footprint, 1-9,2010,4.0,92.4,36.8,13.3,8.3,4.4,29.6,0.0,0.0,0.0,0.0,0.0,2.9
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,South Holland,Service, 10-49,2022,1.0,102.0,17.8,8.5,20.4,17.7,35.0,0.0,0.0,0.8,0.0,1.6,4.1
Food products,Retail,United Kingdom,North Yorkshire,Wholesale/Retail, 1-9,2021,1.0,93.4,39.5,2.3,9.6,15.0,16.7,3.4,0.0,3.9,0.0,2.7,1.8
Personal care products,Retail,United States,New York,Wholesale/Retail, 0,2021,1.0,83.2,44.0,4.5,9.6,21.6,23.9,0.0,0.0,3.3,0.0,1.7,2.5
Personal care products,Retail,United States,New York,Wholesale/Retail, 0,2017,2.0,82.3,34.9,5.6,22.2,19.2,23.9,0.0,0.0,0.4,0.0,1.7,2.9
Management consultant - for-profits,Professional & technical services,Mexico,Nuevo León,Service with Significant Environmental Footprint, 1-9,2024,1.0,108.6,19.0,38.0,6.5,16.6,11.6,3.5,0.0,9.2,0.0,3.9,2.0
Management consultant - for-profits,Professional & technical services,Mexico,Nuevo León,Service with Significant Environmental Footprint, 1-9,2021,2.0,81.6,10.9,36.3,2.0,15.8,7.9,2.5,0.0,2.8,0.0,3.1,0.0
Employment placement & HR,Administrative & support services,United Kingdom,Cumbria,Service, 10-49,2021,1.0,95.6,19.8,17.7,5.6,19.4,29.7,1.1,0.0,0.4,0.0,1.5,0.4
Software publishing and SaaS platforms,"Information, communication & technology",Canada,Ontario,Service, 1-9,2023,1.0,83.0,22.7,4.7,0.6,18.4,30.6,3.0,0.0,0.5,0.0,2.0,0.6
Other manufacturing,Manufactured Goods,Colombia,Antioquia,Manufacturing, 10-49,2020,1.0,90.9,37.1,3.4,9.4,15.4,19.0,0.0,0.0,0.0,0.0,6.4,1.8
Beverages,Retail,Canada,Ontario,Wholesale/Retail, 1-9,2024,1.0,108.4,28.9,4.7,22.2,18.3,28.1,4.3,0.0,0.7,0.0,0.9,7.1
Beverages,Manufactured Goods,Canada,Ontario,Manufacturing, 1-9,2019,2.0,99.3,24.7,4.0,19.8,16.8,28.5,3.8,0.0,0.4,0.0,0.9,4.5
Management consultant - for-profits,Professional & technical services,United States,Virginia,Service, 1-9,2024,1.0,115.1,31.2,29.1,5.9,23.4,19.7,0.0,0.0,4.4,0.0,1.2,3.8
Management consultant - for-profits,Professional & technical services,United Kingdom,London Borough of Islington,Service, 10-49,2020,1.0,104.5,26.1,33.5,2.8,18.2,19.9,0.0,0.0,2.4,0.0,1.3,0.0
Employment placement & HR,Administrative & support services,United States,Pennsylvania,Service, 10-49,2023,1.0,113.3,21.0,45.9,5.9,15.3,19.6,3.5,0.0,1.1,0.0,0.7,1.2
Employment placement & HR,Administrative & support services,United States,Pennsylvania,Service, 1-9,2018,2.0,132.5,35.8,56.0,4.3,12.9,20.1,1.9,0.0,0.8,0.0,0.4,2.9
"Other professional, scientific & tech",Professional & technical services,Denmark,Capital Region of Denmark,Service, 10-49,2024,1.0,83.5,13.3,12.8,6.7,17.4,22.3,2.1,0.0,0.0,0.0,8.7,1.9
Food products,Manufactured Goods,United Kingdom,Warwickshire,Manufacturing, 250-999,2023,1.0,87.2,21.8,3.5,12.1,17.5,31.1,0.0,0.0,0.0,0.0,1.0,2.7
Other financial services,Financial & insurance activities,Canada,British Columbia,Service, 1-9,2023,1.0,80.4,16.5,2.5,8.0,14.6,35.0,0.0,0.0,0.6,0.0,3.0,1.5
Investment advising,Financial & insurance activities,United Kingdom,Suffolk,Service, 10-49,2024,1.0,87.9,14.1,24.6,5.9,13.2,26.5,0.7,0.4,0.4,0.0,1.4,2.0
Investment advising,Financial & insurance activities,United Kingdom,Suffolk,Service, 1-9,2019,2.0,91.8,16.3,26.0,6.8,12.9,25.9,0.9,0.4,0.5,0.0,1.4,2.8
Textiles,Retail,France,Champagne-Ardenne,Wholesale/Retail, 1-9,2024,1.0,92.0,16.0,4.2,35.2,15.6,16.8,3.3,0.0,0.0,0.0,0.6,6.0
Real estate development,"Real estate, design & building",Australia,Victoria,Service with Significant Environmental Footprint, 10-49,2021,1.0,87.9,14.5,3.9,27.5,16.3,11.1,2.3,0.0,8.5,0.0,3.4,3.1
Mixed Farming,"Agriculture, forestry & fishing",United Kingdom,Hampshire,Agriculture/Growers, 10-49,2024,1.0,99.3,15.4,4.5,24.2,17.9,21.7,3.2,0.0,7.7,0.0,4.3,4.4
Mixed Farming,"Agriculture, forestry & fishing",United Kingdom,Hampshire,Agriculture/Growers, 1-9,2019,2.0,81.6,8.4,2.5,30.9,6.7,18.4,3.4,0.0,6.0,0.0,5.0,1.8
Management consultant - for-profits,Professional & technical services,United States,Virginia,Service, 0,2017,1.0,89.0,41.3,20.4,10.2,17.1,23.9,0.0,0.0,0.0,0.0,1.7,2.9
Other insurance services,Financial & insurance activities,United States,Minnesota,Service, 1-9,2021,1.0,107.2,19.0,56.2,1.0,15.8,8.1,3.9,0.0,0.9,0.0,2.1,0.0
Deposit bank - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 10-49,2018,1.0,90.0,33.4,10.2,3.5,16.1,18.2,1.7,1.0,0.4,0.0,5.0,2.9
Deposit bank - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 10-49,2016,2.0,84.9,33.7,6.4,3.0,16.1,18.7,1.6,0.0,0.2,0.0,5.2,2.9
Apparel,Manufactured Goods,United States,California,Manufacturing, 1-9,2022,1.0,112.5,39.0,4.7,33.7,17.3,13.3,4.3,0.0,0.0,0.0,0.0,9.1
Management consultant - for-profits,Professional & technical services,Netherlands The,North Holland,Service, 1-9,2020,1.0,100.5,25.5,24.3,6.0,22.2,18.9,0.0,0.0,0.0,0.0,3.4,1.0
Data processing & hosting,"Information, communication & technology",France,Paris,Service, 250-999,2022,1.0,96.9,12.4,4.8,22.2,18.9,34.9,1.5,0.0,0.8,0.0,1.0,4.2
Beverages,Manufactured Goods,Australia,Victoria,Manufacturing, 50-249,2023,1.0,96.7,15.7,3.6,38.8,15.4,21.7,0.0,0.0,0.5,0.0,0.7,5.5
Other personal services,Other services,Canada,British Columbia,Service, 10-49,2021,1.0,113.2,20.9,19.8,20.3,16.6,28.8,3.3,0.0,0.0,0.0,3.3,5.0
Management consultant - for-profits,Professional & technical services,Canada,British Columbia,Service, 1-9,2017,2.0,122.8,35.3,0.0,41.4,17.8,25.3,0.0,0.0,1.5,0.0,1.5,2.9
Environmental consulting,Other services,Canada,British Columbia,Service, 1-9,2015,3.0,119.7,39.1,0.0,45.5,11.0,24.2,0.0,0.0,0.0,0.0,0.0,2.9
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of London,Service, 50-249,2024,1.0,106.2,21.5,4.8,14.2,19.9,40.4,1.9,0.0,0.0,0.0,3.2,3.6
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of London,Service, 50-249,2021,2.0,90.3,22.4,3.2,8.4,18.3,36.1,0.0,0.0,0.5,0.0,1.1,1.2
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of London,Service, 10-49,2018,3.0,83.8,23.3,4.5,8.7,14.6,34.7,0.9,0.0,0.0,0.0,1.3,2.9
Apparel,Retail,Taiwan,New Taipei City,Wholesale/Retail, 10-49,2020,1.0,87.6,32.8,3.4,25.5,7.3,13.7,3.5,0.0,0.0,0.0,1.0,4.9
Apparel,Retail,Taiwan,New Taipei City,Wholesale/Retail, 10-49,2017,2.0,88.0,43.7,0.0,15.7,7.4,20.0,0.0,0.0,0.4,0.0,0.8,2.9
Textiles,Manufactured Goods,Japan,Gunma Prefecture,Manufacturing, 10-49,2021,1.0,83.1,15.6,4.1,27.0,10.1,19.2,2.5,0.0,1.3,0.0,3.0,4.9
Textiles,Manufactured Goods,Japan,Gunma Prefecture,Manufacturing, 10-49,2018,2.0,93.9,26.7,0.0,32.4,6.7,25.2,0.0,0.0,1.6,0.0,1.0,2.9
Textiles,Manufactured Goods,Japan,Gunma Prefecture,Manufacturing, 10-49,2015,3.0,80.5,29.4,0.0,19.6,6.3,23.0,0.0,0.0,0.4,0.0,1.7,2.9
Facilities & cleaning services,Administrative & support services,United Kingdom,London Borough of Islington,Service with Significant Environmental Footprint, 1-9,2022,1.0,95.3,31.7,13.1,9.8,15.5,14.5,2.5,0.0,5.6,0.0,2.3,3.9
Facilities & cleaning services,Administrative & support services,United Kingdom,London Borough of Islington,Wholesale/Retail, 1-9,2019,2.0,103.0,51.2,12.2,9.4,9.2,16.8,1.7,0.0,1.4,0.0,0.8,2.9
Employment placement & HR,Administrative & support services,Mexico,Mexico City,Service, 10-49,2024,1.0,93.2,23.6,9.1,5.9,19.7,26.1,3.2,0.0,3.1,0.0,2.2,1.6
Employment placement & HR,Administrative & support services,Mexico,Mexico City,Service, 10-49,2021,2.0,82.3,19.4,5.6,6.2,17.7,22.9,2.7,0.0,2.7,0.0,5.0,2.9
Other financial services,Financial & insurance activities,Luxembourg,Luxembourg District,Service, 10-49,2023,1.0,82.3,14.1,5.0,6.9,11.0,41.4,1.8,0.0,0.5,0.0,1.2,1.8
Travel agency & related,Administrative & support services,United Kingdom,London Borough of Hammersmith and Fulham,Service, 10-49,2022,1.0,83.8,14.5,3.5,10.7,18.3,29.6,2.2,0.0,0.0,0.0,4.6,1.4
Computer programming services,"Information, communication & technology",Belgium,Brussels-Capital Region,Service, 50-249,2022,1.0,107.3,19.5,24.6,9.6,22.6,29.4,0.0,0.0,0.0,0.0,1.3,2.5
Investment advising,Financial & insurance activities,United States,New York,Service, 10-49,2024,1.0,128.6,28.1,44.0,4.6,17.6,28.6,3.6,0.0,0.8,0.0,0.9,0.6
Investment advising,Financial & insurance activities,United States,New York,Service, 1-9,2021,2.0,130.2,29.5,42.6,4.5,17.4,29.4,3.8,0.7,0.8,0.0,1.0,0.9
Rubber & plastics products,Manufactured Goods,Italy,Province of Monza and Brianza,Manufacturing, 50-249,2020,1.0,80.3,18.5,3.6,20.9,9.8,21.9,0.0,0.0,0.0,0.0,5.4,4.6
Food products,Retail,United Kingdom,London Borough of Tower Hamlets,Wholesale/Retail, 10-49,2022,1.0,97.1,19.6,4.3,21.8,17.5,29.9,1.2,0.0,0.6,0.0,2.0,11.9
Food products,Retail,United Kingdom,London Borough of Tower Hamlets,Wholesale/Retail, 10-49,2018,2.0,81.2,18.2,4.5,21.9,14.9,23.5,0.9,0.0,0.0,0.0,1.5,2.9
Other personal services,Other services,United Kingdom,LANCASHIRE,Service, 1-9,2020,1.0,101.5,30.5,16.3,7.0,18.5,23.3,3.6,0.0,0.0,0.0,2.1,2.2
Securities brokerage,Financial & insurance activities,Uruguay,Montevideo Department,Service, 10-49,2023,1.0,86.8,16.8,2.1,10.4,16.8,30.9,2.4,0.0,0.4,0.0,6.4,2.0
Solar panel installation,Energy,Singapore,North West Community Development Council,Service with Significant Environmental Footprint, 1-9,2019,1.0,104.1,13.9,2.7,44.1,6.5,28.2,0.9,0.0,0.6,0.0,7.0,3.3
"Other professional, scientific & tech",Professional & technical services,Australia,Victoria,Service, 1-9,2022,1.0,88.2,18.1,12.2,3.0,16.2,30.9,0.0,0.0,2.7,0.0,4.7,0.0
